               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.016143,           0.0062131,            0.015793,             0.84095,             0.91418,             0.92855,             0.78677,            0.017494,           0.0029306,            0.015954,             0.00208,             0.00208,             0.00208
                  98,            0.015962,           0.0062727,            0.014244,             0.89084,             0.88695,             0.93233,             0.79199,            0.017625,           0.0028691,            0.014939,           0.0019975,           0.0019975,           0.0019975
                  99,            0.016146,           0.0062501,            0.013586,             0.91413,             0.88752,             0.94159,             0.79718,            0.017266,           0.0028925,            0.017692,            0.001915,            0.001915,            0.001915
                 100,            0.016483,            0.005953,            0.013945,             0.89839,             0.90662,              0.9432,             0.80526,            0.016985,           0.0029171,            0.016545,           0.0018325,           0.0018325,           0.0018325
                 101,            0.015645,            0.005998,            0.013418,             0.90122,             0.89309,             0.94346,             0.79272,            0.017761,           0.0029697,            0.014418,             0.00175,             0.00175,             0.00175
                 102,            0.016343,           0.0064091,            0.013359,             0.92085,              0.8889,             0.94081,             0.79865,            0.017553,           0.0029192,            0.012835,           0.0016675,           0.0016675,           0.0016675
                 103,            0.015403,           0.0062731,            0.013433,             0.90802,             0.89158,             0.94038,             0.80223,             0.01771,           0.0028332,             0.01269,            0.001585,            0.001585,            0.001585
                 104,            0.014904,           0.0060352,            0.013107,             0.90548,             0.90105,             0.94477,             0.80649,            0.017378,           0.0028183,            0.010331,           0.0015025,           0.0015025,           0.0015025
                 105,            0.015044,           0.0059744,            0.012622,             0.89941,             0.91878,              0.9561,             0.80788,            0.017959,           0.0028096,            0.012234,             0.00142,             0.00142,             0.00142
                 106,            0.015345,           0.0059116,            0.013974,             0.90022,              0.9247,             0.95746,             0.81286,            0.017075,           0.0028934,             0.01242,           0.0013375,           0.0013375,           0.0013375
                 107,            0.014745,           0.0061469,            0.013068,             0.90732,             0.91244,             0.95687,             0.81432,            0.016946,           0.0028765,            0.012555,            0.001255,            0.001255,            0.001255
                 108,            0.014265,            0.005976,            0.011836,             0.88611,             0.90867,             0.94204,              0.8022,            0.017235,            0.002951,            0.015571,           0.0011725,           0.0011725,           0.0011725
                 109,            0.015142,            0.006037,             0.01266,             0.90618,             0.89784,             0.94662,             0.80811,            0.017098,           0.0029034,            0.015375,             0.00109,             0.00109,             0.00109
                 110,            0.014694,           0.0058617,            0.013145,             0.88666,             0.92458,             0.95011,             0.81262,            0.017268,            0.002867,             0.01527,           0.0010075,           0.0010075,           0.0010075
                 111,            0.014686,           0.0061904,            0.011745,              0.9054,             0.91781,             0.95153,             0.81034,            0.017552,           0.0029289,            0.013043,            0.000925,            0.000925,            0.000925
                 112,            0.014022,           0.0059305,            0.010788,             0.90907,             0.91064,             0.93863,             0.80622,            0.017202,           0.0029427,             0.01409,           0.0008425,           0.0008425,           0.0008425
                 113,            0.013961,           0.0058382,            0.012478,             0.91444,             0.90727,             0.94572,             0.80767,            0.016995,           0.0028772,            0.013712,             0.00076,             0.00076,             0.00076
                 114,            0.014117,           0.0059401,            0.011819,             0.90187,             0.92204,             0.94538,               0.803,             0.01751,           0.0029305,            0.012268,           0.0006775,           0.0006775,           0.0006775
                 115,            0.013624,           0.0057225,            0.010631,             0.91873,             0.89873,             0.94361,             0.79917,            0.017753,           0.0028332,            0.012701,            0.000595,            0.000595,            0.000595
                 116,            0.013115,           0.0059097,            0.011551,             0.88837,             0.92463,             0.94582,             0.81123,            0.017176,           0.0028076,            0.013931,           0.0005125,           0.0005125,           0.0005125
                 117,            0.014051,           0.0061105,            0.011189,             0.89292,             0.92354,             0.94859,             0.81312,            0.017059,           0.0027883,            0.012964,             0.00043,             0.00043,             0.00043
                 118,            0.012932,           0.0057609,            0.010882,             0.90491,             0.92547,             0.95427,             0.81816,            0.016993,           0.0027964,            0.012722,           0.0003475,           0.0003475,           0.0003475
                 119,            0.013892,           0.0060219,            0.011835,             0.91322,             0.92415,             0.95435,             0.81716,            0.016818,           0.0027913,            0.012037,            0.000265,            0.000265,            0.000265
